FID,Field1,Aquifer,Station,Latitude,Longitude,Date,Cl,HCO3,SO4,NaK,Ca,Mg,TDS,Source
99,540,Edwards-Trinity Plateau,5216614.000000000000000,30.792222200000001,-103.023888900000003,2015-05-11T00:00:00.000000000,10.774828646376893,4.321147540983606,9.076903859765999,11.477770638249355,7.635111532511602,4.180209833367620,1451.000000000000000,TWDB
100,541,Edwards-Trinity Plateau,5216611.000000000000000,30.800833300000001,-103.011111099999994,2007-08-22T00:00:00.000000000,11.479987589202604,4.401147540983607,12.262147645417830,12.046037626279389,10.629272917810269,5.110059658506480,1725.000000000000000,TWDB
101,542,Edwards-Trinity Plateau,5216605.000000000000000,30.808612000000000,-103.026944000000000,2010-05-11T00:00:00.000000000,16.134036611852309,4.821311475409837,16.592413706957572,16.597288881688517,10.329856779280403,9.627648631968730,2270.000000000000000,TWDB
102,543,Edwards-Trinity Plateau,5216603.000000000000000,30.830555000000000,-103.026111000000000,2010-08-16T00:00:00.000000000,10.238907849829351,4.381147540983607,8.285797560061622,12.022982929997465,7.485403463246668,4.525817732976754,1411.000000000000000,TWDB
103,544,Edwards-Trinity Plateau,5216601.000000000000000,30.815833999999999,-103.026388999999995,2003-05-19T00:00:00.000000000,14.018559783375171,4.601311475409836,12.366240579589459,14.052893621486540,8.932581466141025,6.862785435095660,1867.000000000000000,TWDB
104,545,Edwards-Trinity Plateau,5216502.000000000000000,30.823611000000000,-103.043610999999999,1999-10-13T00:00:00.000000000,12.354384678306490,4.361311475409837,9.888828746304702,12.857461874940483,7.884624981286491,5.175889734622506,1603.000000000000000,TWDB
105,546,Edwards-Trinity Plateau,5216309.000000000000000,30.863889000000000,-103.032499999999999,2010-08-17T00:00:00.000000000,17.205878204947393,4.561147540983606,13.178165466128160,16.599810941250880,11.777034782174759,7.883151614894055,2136.000000000000000,TWDB
106,547,Edwards-Trinity Plateau,5216308.000000000000000,30.844999999999999,-103.034445000000005,2010-08-17T00:00:00.000000000,28.093532282176401,5.681475409836065,20.194029229295914,23.567466829574350,17.765357552772095,13.330590413495166,3267.000000000000000,TWDB
107,548,Edwards-Trinity Plateau,5216307.000000000000000,30.858888900000000,-103.032499999999999,2010-08-16T00:00:00.000000000,14.864750514766026,4.601147540983606,11.595952866719408,15.179161279186829,9.780927191975646,6.525406295001028,1888.000000000000000,TWDB
108,549,Edwards-Trinity Plateau,5216302.000000000000000,30.851945000000001,-103.025554999999997,2010-08-16T00:00:00.000000000,11.959495670324090,4.421147540983607,11.845775908731316,12.964991097552685,9.880732571485602,6.237399711993417,1739.000000000000000,TWDB
109,552,Edwards-Trinity Plateau,5208909.000000000000000,30.891111100000000,-103.034444399999998,2010-05-11T00:00:00.000000000,20.788085634502014,4.581147540983606,18.695090977224467,19.763662317193532,13.773142372373870,9.133923061098539,2660.000000000000000,TWDB
